dictionary_key,row_type,value_id,label,maps_to,aliases,facet_ids,jurisdiction,definition,status,provenance,version,locale
regulatory_scheme,canonical,au_acma_rcm,Radiocommunications (Compliance Labelling) notices incl. EMC Notice 2017,,,,au,Radiocommunications (Compliance Labelling) notices incl. EMC Notice 2017 — ACMA [seeded from CDS-1800],active,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_adg_code_7_9,Australian Dangerous Goods Code edition 7.9,,,,au,"Australian Dangerous Goods Code edition 7.9 — NTC/state regulators [seeded from CDS-1600, CDS-1800, CDS-1900]",active,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_adr_vehicle_standards,Road Vehicle Standards Act 2018 and Australian Design Rules; state vehicle standards for modifications,,,,au,Road Vehicle Standards Act 2018 and Australian Design Rules; state vehicle standards for modifications — Department of Infrastructure and state regulators [research candidate — not adoptable until verified (CDS1500-R086); seeded from CDS-1900],proposed,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_aicis_registration,Industrial Chemicals Act 2019,,,,au,Industrial Chemicals Act 2019 — AICIS [seeded from CDS-1600],active,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_apvma_agvet_code,Agricultural and Veterinary Chemicals Code (APVMA registration),,,,au,Agricultural and Veterinary Chemicals Code Act 1994 — APVMA [research candidate — not adoptable until verified (CDS1500-R086); seeded from CDS-2000],proposed,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_artg_listed,Therapeutic Goods Act 1989 — ARTG listed medicine (AUST L),,,,au,Therapeutic Goods Act 1989; TGO 92 (non-prescription medicine labels); Australian regulatory guidelines for sunscreens — TGA [seeded from CDS-1600],active,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_artg_registered,Therapeutic Goods Act 1989 — ARTG registered medicine (AUST R),,,,au,Therapeutic Goods Act 1989; TGO 92 (non-prescription medicine labels); Australian regulatory guidelines for sunscreens — TGA [seeded from CDS-1600],active,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_as_5812_pet_food,AS 5812:2023 Manufacturing and marketing of pet food (voluntary industry standard; PFIAA membership requirement),,,,au,AS 5812:2023 Manufacturing and marketing of pet food (voluntary industry standard; PFIAA membership requirement) [research candidate — not adoptable until verified (CDS1500-R086); seeded from CDS-2000],proposed,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_bicycle_helmets_2024,Consumer Goods (Bicycle Helmets) Safety Standard 2024 (AS-NZS 2063 and recognised international standards),,Consumer Goods (Bicycle Helmets) Safety Standard 2024 (AS/NZS 2063 and recognised international standards),,au,Consumer Goods (Bicycle Helmets) Safety Standard 2024 (AS/NZS 2063 and recognised international standards) — ACCC [research candidate — not adoptable until verified (CDS1500-R086); seeded from CDS-2000],proposed,seed,0.8.0,en-GB
regulatory_scheme,canonical,au_button_battery_standards_2020,Consumer Goods (Button-Coin Batteries) Safety and Information Standards 2020,,Consumer Goods (Button/Coin Batteries) Safety and Information Standards 2020,,au,"Consumer Goods (Products Containing Button/Coin Batteries) Safety Standard 2020 and Information Standard 2020; Consumer Goods (Button/Coin Batteries) Safety and Information Standards 2020 — ACCC [seeded from CDS-1800, CDS-2000]",active,seed,0.8.0,en-GB
